region,vehicle_type,traffic,category,shipment_volume,distance_km,fuel_cost,transport_cost,actual_delivery_time_hr,predicted_delivery_time_hr,prediction_error_hr,risk_level,recommendation
East,Truck,Low,Home,40,34.0694308833578,6.066259606485715,79.66649496683281,2.1584475751972247,2.1023527970908926,0.05609477810633212,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
North,Bike,Medium,Clothing,40,36.57265422412056,2.270273327724329,89.46241251666254,1.8062278858343943,1.9299953870507234,-0.12376750121632907,Low,Continue normal dispatch operations while maintaining standard monitoring.
West,Truck,Low,Grocery,38,19.67138276625497,2.867952517194172,69.20927441885118,1.3998080422905117,1.40685968296971,-0.007051640679198279,Low,Continue normal dispatch operations while maintaining standard monitoring.
South,Van,High,Clothing,40,35.80040281301338,4.174295588643295,100.50216695851172,3.020068187690914,2.9603970330939804,0.05967115459693373,High,"Prioritize high-risk shipments, consider alternate routes, and assign suitable vehicles."
West,Bike,Medium,Electronics,32,19.78298262306727,0.5,67.68314108128318,1.830567202406004,1.612072843379004,0.2184943590270001,Low,Continue normal dispatch operations while maintaining standard monitoring.
North,Bike,Medium,Electronics,42,28.188115561739814,1.3745050700166557,77.66432041064827,1.7777766245100135,1.723307004578899,0.054469619931114543,Low,Continue normal dispatch operations while maintaining standard monitoring.
West,Van,Medium,Electronics,37,31.930108253515733,3.832998995483732,75.15425201639604,1.9440003993807493,2.0799801140155085,-0.13597971463475922,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
East,Van,Medium,Home,40,14.971072286489628,1.1665778821864785,61.323735511698914,1.564559381191284,1.8646246962291757,-0.3000653150378918,Low,Continue normal dispatch operations while maintaining standard monitoring.
East,Truck,Low,Clothing,44,20.6985510068363,3.5119032517882043,57.3295721857127,1.5432271231710013,1.6801030170829847,-0.1368758939119834,Low,Continue normal dispatch operations while maintaining standard monitoring.
South,Truck,Medium,Home,50,9.235847786492323,1.4226189353927554,52.29397185326364,1.573231925968549,1.6368982567708936,-0.06366633080234463,Low,Continue normal dispatch operations while maintaining standard monitoring.
East,Truck,High,Grocery,28,31.058697927503538,5.1123500274724805,88.03346928338183,3.462745994751429,3.136940550373553,0.3258054443778762,High,"Prioritize high-risk shipments, consider alternate routes, and assign suitable vehicles."
South,Van,Medium,Home,33,25.57945471164893,3.159001238276792,72.04580432207023,2.20654352004821,1.9729685285031098,0.23357499154510042,Low,Continue normal dispatch operations while maintaining standard monitoring.
East,Van,Low,Electronics,30,21.3198234041014,1.915080770604316,57.39943900166847,1.4984432926054156,1.5583695771445578,-0.05992628453914217,Low,Continue normal dispatch operations while maintaining standard monitoring.
West,Bike,Medium,Grocery,38,26.03605938525678,1.2004645196782828,78.95523457869133,1.641713211997529,1.8262831435264544,-0.1845699315289253,Low,Continue normal dispatch operations while maintaining standard monitoring.
North,Van,Low,Home,42,38.41752755861157,3.8662359532320463,82.91650201492212,1.2506507450886102,1.6344791956664366,-0.38382845057782644,Low,Continue normal dispatch operations while maintaining standard monitoring.
South,Bike,Low,Grocery,38,17.694126110899006,0.7294184150663892,40.40717630204219,1.1505075619257996,1.1788789566635147,-0.028371394737715105,Low,Continue normal dispatch operations while maintaining standard monitoring.
South,Truck,Low,Home,44,28.494699622751423,4.418703238472307,87.95057522788335,1.6238755945068035,1.7644795489248044,-0.1406039544180009,Low,Continue normal dispatch operations while maintaining standard monitoring.
South,Bike,Medium,Clothing,39,35.30375628388039,1.4483259815861214,91.33813958619054,1.952973422465352,2.118145498783214,-0.1651720763178619,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
North,Van,Low,Electronics,25,24.35239132631812,1.7337013183687944,70.93446909778869,1.6268004921432355,1.2044993219618951,0.4223011701813404,Low,Continue normal dispatch operations while maintaining standard monitoring.
East,Truck,Low,Grocery,44,15.093474368974658,2.547722749708008,53.04686558389487,1.2794937816600436,1.5581233170360405,-0.2786295353759969,Low,Continue normal dispatch operations while maintaining standard monitoring.
East,Van,Medium,Clothing,35,15.945563818127711,1.743282098865141,62.73919680219,2.125910635278302,1.8840103163695032,0.24190031890879893,Low,Continue normal dispatch operations while maintaining standard monitoring.
East,Truck,Low,Electronics,48,23.60699682233755,3.695222413143575,74.85068444292752,1.787410312819762,1.8263300012917623,-0.038919688472000225,Low,Continue normal dispatch operations while maintaining standard monitoring.
West,Truck,High,Electronics,33,33.43389241885555,4.6248998898570095,85.20479922557551,2.9452135642172688,2.8860401714856034,0.05917339273166533,High,"Prioritize high-risk shipments, consider alternate routes, and assign suitable vehicles."
East,Van,Medium,Electronics,41,17.345844425701607,0.9889467991462866,57.42728109733922,1.4253170214341109,1.9240300537611916,-0.49871303232708075,Low,Continue normal dispatch operations while maintaining standard monitoring.
South,Truck,Medium,Clothing,52,31.79177459708631,4.870612050734896,83.02983550165366,2.5069162695444738,2.3051666912475026,0.20174957829697115,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
South,Van,Low,Grocery,34,28.80371493367416,3.1775981689534314,66.70624466862748,1.4807739187500062,1.6146024228549716,-0.13382850410496538,Low,Continue normal dispatch operations while maintaining standard monitoring.
West,Bike,High,Clothing,42,33.056743466863715,2.273718187250777,93.9962047082049,2.5752687565816803,2.6756949641408263,-0.100426207559146,High,"Prioritize high-risk shipments, consider alternate routes, and assign suitable vehicles."
East,Bike,High,Electronics,25,24.2351472564221,1.3642256981051144,69.398733227668,3.086910995878177,2.663714723804742,0.4231962720734348,High,"Prioritize high-risk shipments, consider alternate routes, and assign suitable vehicles."
East,Bike,Medium,Home,46,31.169179567761013,1.4260399374897637,93.00620954688264,2.221198566103969,2.2497197215470335,-0.02852115544306466,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
South,Van,High,Clothing,53,12.660166694055157,1.45837430677068,66.51269746065486,2.335328549627208,2.32353214717734,0.011796402449868015,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
North,Van,Medium,Home,42,42.93358726034678,4.835732785426214,97.12166772228574,2.640952017399535,2.2482355261420226,0.3927164912575125,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
South,Bike,High,Home,35,19.5246243002744,2.0012860829232224,72.31109398811475,2.213788406628049,2.399913465361669,-0.18612505873361984,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
South,Bike,Low,Grocery,46,18.96241279073904,1.7605209920379887,60.69368079728702,1.4154347061495125,1.3031215177526294,0.11231318839688309,Low,Continue normal dispatch operations while maintaining standard monitoring.
South,Truck,High,Electronics,41,30.204644431022405,4.908565370324854,83.22359158175853,2.85821858044584,2.928798989939662,-0.0705804094938216,High,"Prioritize high-risk shipments, consider alternate routes, and assign suitable vehicles."
South,Truck,Medium,Electronics,32,14.922039170548905,1.5359816160965365,59.120449579365264,1.6426467356477528,1.7525015164291895,-0.10985478078143673,Low,Continue normal dispatch operations while maintaining standard monitoring.
South,Van,Medium,Electronics,49,25.59939400527179,2.47759344936231,75.78694225706292,1.805244595693712,2.0206109323459946,-0.21536633665228266,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
West,Bike,Low,Clothing,46,18.177493458753467,0.901833959154274,61.302453753304015,1.233540282754945,1.1305143272610236,0.10302595549392146,Low,Continue normal dispatch operations while maintaining standard monitoring.
North,Bike,High,Home,33,31.40978506893765,1.0550823404159408,86.13135194943624,2.4421994523334742,2.4214364844447758,0.02076296788869847,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
East,Van,Medium,Home,44,24.510683104458487,2.128938060512028,66.34407160741301,2.2805676629854483,2.127321949463492,0.15324571352195626,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
West,Bike,Low,Grocery,34,37.379972978278566,1.433862339693778,84.25610795545137,1.530701337226226,1.6338309728859732,-0.10312963565974731,Low,Continue normal dispatch operations while maintaining standard monitoring.
West,Bike,Low,Home,46,16.48712949546844,0.6597784103383786,61.61447402574401,0.6914816946779117,1.0959340808726856,-0.40445238619477397,Low,Continue normal dispatch operations while maintaining standard monitoring.
North,Truck,Medium,Clothing,39,41.89891221523092,6.317232600398679,100.07579733144756,2.254575877935799,2.337210838784501,-0.08263496084870203,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
East,Truck,Low,Grocery,43,20.382111980919284,2.829589899320216,70.08427611107699,1.710302122647331,1.7188304225112723,-0.008528299863941324,Low,Continue normal dispatch operations while maintaining standard monitoring.
South,Van,Medium,Clothing,36,23.5474532307375,2.4706811754016047,66.61486569370082,1.827612134578583,1.8934220257551133,-0.06580989117653036,Low,Continue normal dispatch operations while maintaining standard monitoring.
South,Truck,Low,Clothing,45,18.010914602721932,2.545245616004777,57.78913414153708,1.121556267171639,1.4020935825088234,-0.2805373153371844,Low,Continue normal dispatch operations while maintaining standard monitoring.
East,Truck,Medium,Grocery,46,27.88008867687668,3.794961883384506,80.66100029234894,2.201636846201764,2.398803822285183,-0.19716697608341915,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
West,Truck,Low,Electronics,45,13.954221497762791,2.141438220885156,45.21261033826677,0.9221486642423788,1.2100540088134841,-0.2879053445711053,Low,Continue normal dispatch operations while maintaining standard monitoring.
South,Van,High,Electronics,48,29.736046929909563,2.973856668166748,77.70950124228608,2.521427858538695,2.7879692163790635,-0.2665413578403686,High,"Prioritize high-risk shipments, consider alternate routes, and assign suitable vehicles."
East,Van,Medium,Grocery,37,22.90807248622472,1.6434594439296697,73.9982941914056,2.1958502333059937,2.1068954550117445,0.08895477829424925,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
East,Van,High,Electronics,33,9.80068117530427,1.1015393019227326,54.42354257324944,2.3444956006062787,2.3907259269975207,-0.04623032639124203,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
West,Truck,High,Grocery,40,15.799434212842542,2.347967712665909,61.17021991860875,2.610756691146088,2.404690114536189,0.20606657660989924,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
East,Bike,Medium,Clothing,52,30.08983145369353,2.0460336087635405,78.7085243640323,1.9908853700314424,2.219191570875804,-0.22830620084436148,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
East,Truck,Medium,Home,37,22.728997179111744,3.556121992095234,63.97204600942272,2.230975872439808,2.1856407936412623,0.04533507879854559,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
East,Van,High,Home,27,32.911752808408615,2.5660521066232445,78.9802005050791,2.952199260213637,2.969405022332118,-0.017205762118480905,High,"Prioritize high-risk shipments, consider alternate routes, and assign suitable vehicles."
South,Truck,Low,Grocery,35,37.151558497817135,6.30642668254138,95.45606804400649,2.355599528864064,2.0382069448466855,0.31739258401737835,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
West,Van,Medium,Electronics,50,23.6929658773709,2.307698038320323,76.38939768928564,2.1167440999216653,1.887403182326487,0.22934091759517838,Low,Continue normal dispatch operations while maintaining standard monitoring.
North,Truck,Medium,Electronics,38,6.30204657777556,1.3349522528995323,39.3605697870862,1.452403934997923,1.2875595823531973,0.16484435264472563,Low,Continue normal dispatch operations while maintaining standard monitoring.
West,Bike,Medium,Home,36,15.279635865762758,1.159232114302442,50.47542458800764,1.3708647521730315,1.486841580766856,-0.11597682859382452,Low,Continue normal dispatch operations while maintaining standard monitoring.
South,Truck,Medium,Home,34,21.556898380931337,2.73382552811261,70.97230266354573,2.0060175072802924,1.949505013608707,0.056512493671585284,Low,Continue normal dispatch operations while maintaining standard monitoring.
North,Truck,Low,Grocery,31,35.98970199684707,5.507000732045632,85.98730853010966,1.4918576492497118,1.7176747498720881,-0.22581710062237637,Low,Continue normal dispatch operations while maintaining standard monitoring.
North,Truck,Medium,Clothing,42,31.12088135111593,5.159186877326092,74.78628372488942,2.1231968722216936,2.015222178768637,0.10797469345305677,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
South,Van,Medium,Clothing,22,5.892377752501666,0.5,41.109893641062776,1.2813699464099744,1.3490317612392053,-0.06766181482923095,Low,Continue normal dispatch operations while maintaining standard monitoring.
West,Bike,Low,Grocery,34,17.11549283209545,0.5244320266501401,58.67719232368968,0.9798922302569352,1.0995861646956964,-0.1196939344387612,Low,Continue normal dispatch operations while maintaining standard monitoring.
South,Truck,Low,Clothing,38,15.05150959479941,2.4295244793570547,44.86609142354358,1.5354625515978857,1.2863066378398211,0.24915591375806456,Low,Continue normal dispatch operations while maintaining standard monitoring.
South,Truck,Medium,Grocery,45,23.647448664544022,2.851490862275617,69.32669542678872,2.008511587840517,2.0561896957677224,-0.04767810792720528,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
East,Bike,High,Electronics,33,18.873137092575067,1.4320081633220043,61.3507375650955,2.591189067856682,2.5497166560837567,0.041472411772925266,High,"Prioritize high-risk shipments, consider alternate routes, and assign suitable vehicles."
South,Van,Medium,Electronics,31,27.97144381069519,3.527749503218521,78.77828062289521,1.7893853495314282,2.064458577364536,-0.2750732278331076,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
West,Van,High,Electronics,36,31.36314557623365,4.072013481146022,91.45379436034602,3.0485456348105724,2.7661666860912493,0.2823789487193231,High,"Prioritize high-risk shipments, consider alternate routes, and assign suitable vehicles."
West,Truck,Low,Home,39,6.113938408257802,0.5,39.51662019945724,1.0014193678972627,0.9403994757430436,0.0610198921542191,Low,Continue normal dispatch operations while maintaining standard monitoring.
North,Truck,High,Electronics,32,21.63070652762734,3.923197231009444,72.33425022360304,2.146191650053548,2.421476061729803,-0.27528441167625495,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
East,Van,Medium,Home,37,32.57412371557504,3.5332809596860635,70.82132804475975,2.0240429640640705,2.34050359072719,-0.31646062666311936,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
South,Truck,Low,Home,47,18.89711271771516,2.9256401716813807,65.60768810392004,1.2646640032763212,1.4651365186753729,-0.20047251539905164,Low,Continue normal dispatch operations while maintaining standard monitoring.
East,Truck,Medium,Clothing,33,31.573542118343973,4.348082804240753,85.61450209351187,2.5559349781698817,2.433385646876697,0.12254933129318468,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
East,Bike,High,Electronics,31,23.335386655519056,0.9804661627435672,67.31539729330632,3.3058715338199787,2.643293658787912,0.6625778750320666,High,"Prioritize high-risk shipments, consider alternate routes, and assign suitable vehicles."
South,Truck,High,Clothing,35,10.13696256190744,1.67044174144336,58.8332435237008,2.398302613577011,2.2885863595600178,0.10971625401699336,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
South,Van,Low,Grocery,40,9.430752220280889,1.5495400052095518,55.72338544584387,0.9549389836830674,1.1260816219159206,-0.17114263823285325,Low,Continue normal dispatch operations while maintaining standard monitoring.
North,Truck,High,Clothing,31,24.54398510933232,3.526462355723982,72.09043037236127,2.3965166535323634,2.443929717067663,-0.04741306353529939,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
East,Van,Medium,Electronics,33,18.55804139254306,1.1924249698528748,56.57105698918394,1.8171672060147808,1.9343759147952322,-0.11720870878045142,Low,Continue normal dispatch operations while maintaining standard monitoring.
North,Van,Medium,Grocery,39,8.969950730625975,0.8669300025891177,40.75133526358244,1.161243953654107,1.273690811791048,-0.11244685813694089,Low,Continue normal dispatch operations while maintaining standard monitoring.
North,Van,Medium,Electronics,34,5.038346477779712,0.5,37.46243193438477,0.9026598722691356,1.1411772151926192,-0.2385173429234836,Low,Continue normal dispatch operations while maintaining standard monitoring.
West,Bike,Low,Clothing,43,24.347326764590527,1.8171531201415057,63.817724353188645,0.9119011684893168,1.2930244526934334,-0.38112328420411656,Low,Continue normal dispatch operations while maintaining standard monitoring.
East,Bike,Medium,Grocery,43,28.761146699028977,1.5469517122254626,83.8270134679117,2.405751687475309,2.2033628829807648,0.20238880449454433,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
North,Truck,Medium,Electronics,37,16.716405414801383,2.438804209385663,63.76307150401283,1.2074097999191404,1.6031152803951714,-0.39570548047603094,Low,Continue normal dispatch operations while maintaining standard monitoring.
West,Bike,Low,Grocery,43,22.34861481301344,1.2430359285864354,64.92130877489693,1.6084089570535531,1.2747872277712198,0.33362172928233336,Low,Continue normal dispatch operations while maintaining standard monitoring.
North,Bike,Medium,Clothing,48,20.37129660101589,0.9527999671143076,66.80126945359768,1.8454295579112203,1.5012281997005237,0.34420135821069664,Low,Continue normal dispatch operations while maintaining standard monitoring.
North,Truck,Medium,Clothing,29,32.52626159513968,5.28860790992431,77.149691072068,2.2624317098935824,2.0215977325541417,0.24083397733944079,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
South,Bike,Medium,Electronics,37,19.425656841943823,1.058251203383145,65.70978403078313,1.9110238055840416,1.7192108011629,0.1918130044211417,Low,Continue normal dispatch operations while maintaining standard monitoring.
West,Truck,Medium,Grocery,38,23.28844214707552,3.614299194937897,72.04393264389779,1.7256826508945131,1.9691479010039934,-0.24346525010948028,Low,Continue normal dispatch operations while maintaining standard monitoring.
South,Van,Medium,Home,44,28.75666095955433,2.3814195684836195,82.20717663783236,2.009995889239102,2.071227691319633,-0.06123180208053114,Medium,Monitor traffic conditions and consider route adjustments to reduce delivery delays.
West,Van,Low,Clothing,44,34.59486118247024,4.881788276428251,86.60876262852679,1.846681924057419,1.7334756252464003,0.11320629881101874,Low,Continue normal dispatch operations while maintaining standard monitoring.
West,Van,Low,Home,41,33.17632631727716,3.662734760794798,76.84798003220698,1.212261936644393,1.6458636216174005,-0.43360168497300755,Low,Continue normal dispatch operations while maintaining standard monitoring.
East,Bike,Low,Electronics,43,24.346562842461832,1.5025393817831896,66.13644318168298,1.4760157067955522,1.5983158567451357,-0.12230014994958349,Low,Continue normal dispatch operations while maintaining standard monitoring.
